Cruise,Station,Latitude ,Longitude,CTDPRS [DBARS],CTDTMP [ITS-90],SALNTY [PSS-78],TALK [UMOL/KG],pH [UMOL/KG],TCO2 in (mmol/kgSW),NO2+NO3 [umol/kg],PO4 [UMOL/KG],SiO2 [umol/kg],Ar,,,,,,
RFI,308,58.4472,319.52399,99.701,3.951,34.841,2308.3601,8.031,2011.5,15.15,1.06,7.36,1.76,,,,,,
RFI,310,58.4477,317.66461,2.184,6.1227,34.912,2317.98,8.109,1971.8,8.74,0.68,9.34,2.06,,,,,,
RFI,310,58.4477,317.66461,2.184,6.1227,34.912,2320.04,8.108,1974.2,8.72,0.7,6.9,2.03,,,,,,
RFI,310,58.4477,317.66461,10.246,6.128,34.913,2320.0701,8.109,1973.6,8.74,0.68,7.74,1.97,,,,,,
RFI,310,58.4477,317.66461,20.439,6.1291,34.912,2303.1299,8.114,1955.3,8.69,0.76,5.26,2.05,,,,,,
RFI,310,58.4477,317.66461,101.271,5.2433,34.973,2315.0601,8.024,2020.7,15.35,1.09,12.05,1.95,,,,,,
RFI,312,58.4497,315.40549,0.882,4.684,34.972,2291.0801,8.092,1957.9,9.4,0.74,3.18,1.86,,,,,,
RFI,312,58.4497,315.40549,11.413,5.0968,34.474,2294.3501,8.086,1968.6,9.41,0.74,2.95,1.64,,,,,,
RFI,312,58.4497,315.40549,11.413,5.0968,34.474,2291.3501,8.087,1965.3,,,,1.88,,,,,,
RFI,312,58.4497,315.40549,21.636,5.1239,34.491,2294.6001,8.091,1965.6,9.41,0.73,3.31,1.86,,,,,,
RFI,312,58.4497,315.40549,51.682,5.62,34.914,2319.95,8.086,1988.1,9.71,0.8,5.09,1.9,,,,,,
RFI,312,58.4497,315.40549,100.768,5.4058,34.919,2318.0701,8.062,2001.1,11.51,0.93,10.72,1.85,,,,,,
RFI,314,58.4499,312.9314,4.59,4.9082,34.367,2297.0901,8.163,1922.7,2.43,0.43,2,1.76,,,,,,
RFI,314,58.4499,312.9314,4.59,4.9082,34.367,2296.98,8.165,1921.2,,,,2.14,,,,,,
RFI,314,58.4499,312.9314,9.902,4.9141,34.367,2295.8601,8.161,1922.9,2.28,0.44,2.24,2.12,,,,,,
RFI,314,58.4499,312.9314,19.616,4.8813,34.366,2268.6399,8.161,1898.9,2.53,0.43,1.72,2.1,,,,,,
RFI,314,58.4499,312.9314,51.139,4.0226,34.488,2303.97,8.129,1950,5.89,0.64,2.41,2.07,,,,,,
RFI,314,58.4499,312.9314,101.464,4.5564,34.849,2315.9299,8.031,2018.3,12.66,1.04,6.82,2.12,,,,,,
RFI,316,58.4491,311.5687,4.564,5.2237,34.506,2303.8899,8.16,1929.4,2.74,0.43,2.39,2.04,,,,,,
RFI,316,58.4491,311.5687,10.175,5.2209,34.505,2302.5901,8.157,1930.3,3.09,0.45,2.68,1.68,,,,,,
RFI,316,58.4491,311.5687,20.556,5.3173,34.548,2307.05,8.165,1928.5,3.67,0.45,3.05,2.18,,,,,,
RFI,316,58.4491,311.5687,51.446,4.633,34.712,2312.75,8.12,1961.7,6.88,0.65,5.32,2.11,,,,,,
RFI,316,58.4491,311.5687,101.082,4.1607,34.815,2313.6599,8.035,2014.1,13.07,1.04,6.92,2.1,,,,,,
